Code,Name,Inception,Category,Type,Market Cap,30 Day Trade Volume,Hard-Fork Of,Similar To
BTC,Bitcoin,2009,,coin," 133,925,383,714 "," 17,789,106,389 ",,
ETH,Ethereum,2014,5_smart-contracts,coin," 16,115,998,364 "," 6,426,999,552 ",,
XRP,Ripple,2012,3_settlement,unmined-coin," 9,612,781,368 "," 1,447,319,542 ",,
USDT,Tether,2015,3_settlement,token," 4,142,265,916 "," 19,522,838,609 ",,
BCH,Bitcoin Cash,2017,1_conventional,coin," 3,860,374,274 "," 1,121,502,351 ",BTC,BCG
LTC,Litecoin,2011,1_conventional,coin," 2,863,495,311 "," 2,602,985,931 ",,DOGE
EOS,EOS,2017,6_token,token,"2,547,659,339"," 1,271,375,681 ",,
BNB,Binance Coin,2017,6_token,token," 2,416,016,845 "," 242,680,997 ",,
BSV,Bitcoin SV,2018,1_conventional,coin," 1,730,928,170 "," 374,192,883 ",,
XLM,Stellar,2014,3_settlement,unmined-coin," 1,098,529,156 "," 191,443,424 ",,
ADA,Cardano,2017,5_smart-contracts,unmined-coin," 975,679,099 "," 34,191,938 ",,NEO
TRX,TRON,2017,6_token,token," 975,493,675 "," 1,086,378,157 ",,
XMR,Monero,2014,2_privacy,coin," 960,276,447 "," 128,367,795 ",,
LEO,UNUS SED LEO,2019,6_token,token," 924,511,412 "," 8,431,159 ",,
XTZ,Tezos,2014,5_smart-contracts,unmined-coin," 851,450,332 "," 28,899,106 ",,
LINK,Chainlink,2014,5_smart-contracts,unmined-coin," 703,018,801 "," 119,136,502 ",,
HT,Huobi Token,2013,6_token,token," 682,953,879 "," 116,492,289 ",,
ATOM,Cosmos,2017,5_smart-contracts,unmined-coin," 676,058,947 "," 187,387,883 ",,
NEO,Neo,2014,5_smart-contracts,unmined-coin," 613,873,159 "," 306,208,851 ",,ADA
IOTA,IOTA,2015,1_conventional,unmined-coin," 565,553,559 "," 6,804,230 ",,
DASH,Dash,2014,2_privacy,coin," 470,184,614 "," 253,553,527 ",,
USDC,USD Coin,2018,1_conventional,coin," 467,229,806 "," 268,825,624 ",,
ONT,Ontology,2018,6_token,token," 389,021,937 "," 67,689,526 ",ETH,
MKR,Maker,2015,1_conventional,coin," 515,901,814 "," 5,538,943 ",,
ETC,Ethereum Classic,2016,5_smart-contracts,token," 446,003,173 "," 510,683,426 ",ETH,
